drug_name,medical_condition,activity,rx_otc,pregnancy_category,csa,alcohol,rating,no_of_reviews,drug_link
CeraVe SA Renewing,Acne,0%,Rx/OTC,C,N,,10.0,1.0,https://www.drugs.com/mtm/cerave-sa-renewing.html
Clarifoam EF,Acne,0%,Rx,C,N,,8.1,7.0,https://www.drugs.com/cdi/clarifoam-ef.html
clascoterone,Acne,0%,Rx,,N,,,,https://www.drugs.com/mtm/clascoterone-topical.html
Cleanse & Treat,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/cleanse-treat-topical.html
Cleanse & Treat Plus,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/cleanse-treat-plus-topical.html
Clearskin,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/clearskin.html
Compound W,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/compound-w.html
DermalZone,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/dermalzone.html
DHS Salicylic Acid 3%,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/dhs-sal-topical.html
drospirenone / ethinyl estradiol / levomefolate calcium,Acne,0%,Rx,X,N,X,7.0,37.0,https://www.drugs.com/mtm/drospirenone-ethinyl-estradiol-and-levomefolate.html
Dulcolax Milk of Magnesia,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/cdi/dulcolax-milk-of-magnesia.html
Durasal,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/durasal-topical.html
Enzoclear Foam,Acne,0%,Rx,C,N,,,,https://www.drugs.com/pro/enzoclear-foam.html
ethinyl estradiol / norethindrone,Acne,0%,Rx,X,N,X,3.8,187.0,https://www.drugs.com/mtm/ethinyl-estradiol-and-norethindrone-hrt.html
Ex-Lax Milk of Magnesia,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/ex-lax-milk-of-magnesia.html
Fabior,Acne,0%,Rx,X,N,,7.1,9.0,https://www.drugs.com/fabior.html
Fostex,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/fostex.html
Fostex Medicated,Acne,0%,OTC,N,N,,10.0,1.0,https://www.drugs.com/cdi/fostex-medicated.html
Fostex Medicated Cleansing Cream,Acne,0%,OTC,N,N,,,,https://www.drugs.com/cons/fostex-cream-topical.html
Fostex Wash 10%,Acne,0%,OTC,C,N,,,,https://www.drugs.com/mtm/fostex-wash-10.html
Hydrisalic,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/hydrisalic-topical.html
Inova,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cdi/inova.html
Inova 4/1,Acne,0%,Rx,C,N,,8.0,1.0,https://www.drugs.com/mtm/inova-4-1-topical.html
Inova 8/2,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/inova-8-2-topical.html
Jasmiel,Acne,0%,Rx,X,N,X,,,https://www.drugs.com/mtm/jasmiel.html
Liquimat Light,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/liquimat-light.html
Liquimat Medium,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/liquimat-medium.html
Lo-Zumandimine,Acne,0%,Rx,X,N,X,,,https://www.drugs.com/cdi/lo-zumandimine.html
Meted,Acne,0%,OTC,N,N,,,,https://www.drugs.com/cdi/meted.html
Mono-Linyah,Acne,0%,Rx,X,N,X,5.7,6.0,https://www.drugs.com/mtm/mono-linyah.html
Neuac,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/neuac.html
Neutrogena Clear Pore Cleanser/Mask,Acne,0%,OTC,C,N,,,,https://www.drugs.com/cdi/neutrogena-clear-pore.html
Neutrogena Rapid Clear Stubborn Acne,Acne,0%,OTC,C,N,,,,https://www.drugs.com/mtm/neutrogena-acne-mask.html
Nikki,Acne,0%,Rx,X,N,X,5.2,46.0,https://www.drugs.com/mtm/nikki.html
Oscion,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/oscion.html
Oxy-10,Acne,0%,OTC,C,N,,8.7,3.0,https://www.drugs.com/mtm/oxy-10.html
Oxy Daily Wash,Acne,0%,OTC,C,N,,,,https://www.drugs.com/mtm/oxy-daily-wash.html
P & S,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/p-s-topical.html
PanOxyl 4% Acne Creamy Wash,Acne,0%,OTC,C,N,,,,https://www.drugs.com/cdi/panoxyl-4-creamy-wash.html
Pernox,Acne,0%,OTC,N,N,,10.0,2.0,https://www.drugs.com/cdi/pernox.html
Persa-Gel,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/persa-gel.html
Plexion,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/plexion.html
Propa pH Acne Med Cleansing,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/propa-ph-acne-med-cleansing.html
R A Acne,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/r-a-acne-topical.html
Resinol,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/resinol-topical.html
resorcinol / sulfur,Acne,0%,OTC,N,N,,7.5,2.0,https://www.drugs.com/cons/resorcinol-and-sulfur-topical.html
resorcinol,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/resorcinol-topical.html
retapamulin,Acne,0%,Rx,B,N,,8.3,3.0,https://www.drugs.com/mtm/retapamulin-topical.html
Riax,Acne,0%,OTC,C,N,,,,https://www.drugs.com/mtm/riax.html
Sal-Plant Gel,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/sal-plant-gel-topical.html
Salactic Film,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/salactic-film-topical.html
Salex,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/salex.html
salicylic acid/sulfur,Acne,0%,OTC,N,N,,10.0,3.0,https://www.drugs.com/cons/salicylic-acid-and-sulfur-topical.html
Salvax,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/salvax-topical.html
sarecycline,Acne,0%,Rx,,N,,8.9,8.0,https://www.drugs.com/mtm/sarecycline.html
SAStid,Acne,0%,OTC,N,N,,,,https://www.drugs.com/cons/sastid-topical.html
Scalpicin Scalp Relief,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/scalpicin-scalp-relief.html
Sebulex,Acne,0%,OTC,N,N,,,,https://www.drugs.com/cdi/sebulex.html
SoluCLENZ Rx,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/soluclenz-rx.html
SSS 10-4,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cdi/sss-10-4.html
SSS 10-5,Acne,0%,Rx,C,N,,,,https://www.drugs.com/cdi/sss-10-5.html
SSS Cleanser,Acne,0%,Rx,C,N,,,,https://www.drugs.com/pro/sss-cleanser.html
Stri-Dex,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/stri-dex.html
Stridex Body Focus,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/stridex-body-focus.html
Stridex Maximum Strength,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/stridex-maximum-strength.html
Sulfacleanse 8/4,Acne,0%,Rx,C,N,,10.0,1.0,https://www.drugs.com/mtm/sulfacleans-8-4.html
Sulfoam,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/sulfoam.html
sulfur,Acne,0%,Rx/OTC,N,N,,9.5,2.0,https://www.drugs.com/mtm/sulfur-topical.html
Sulpho-Lac Soap,Acne,0%,Rx/OTC,N,N,,,,https://www.drugs.com/mtm/sulpho-lac-soap.html
Sumadan,Acne,0%,Rx,C,N,,8.0,2.0,https://www.drugs.com/mtm/sumadan.html
Sumaxin,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/sumaxin.html
Suphera,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/suphera.html
Syeda,Acne,0%,Rx,X,N,X,2.6,5.0,https://www.drugs.com/mtm/syeda.html
Tinamed Plantar,Acne,0%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/tinamed-plantar.html
Tri-Estarylla,Acne,0%,Rx,X,N,X,4.4,5.0,https://www.drugs.com/cdi/tri-estarylla.html
Tri-Linyah,Acne,0%,Rx,X,N,X,6.5,12.0,https://www.drugs.com/cdi/tri-linyah.html
Tri-Lo-Marzia,Acne,0%,Rx,X,N,X,3.7,28.0,https://www.drugs.com/mtm/tri-lo-marzia.html
trifarotene,Acne,0%,Rx,,N,,10.0,1.0,https://www.drugs.com/mtm/trifarotene-topical.html
Twyneo,Acne,0%,Rx,,N,,,,https://www.drugs.com/twyneo.html
Vanoxide-HC,Acne,0%,Rx,C,N,,10.0,1.0,https://www.drugs.com/mtm/vanoxide-hc.html
Winlevi,Acne,0%,Rx,,N,,,,https://www.drugs.com/winlevi.html
Z-Clinz 10,Acne,0%,Rx,C,N,,,,https://www.drugs.com/mtm/z-clinz-10.html
Zarah,Acne,0%,Rx,X,N,X,8.5,2.0,https://www.drugs.com/mtm/zarah.html
Zumandimine,Acne,0%,Rx,X,N,X,6.0,1.0,https://www.drugs.com/cdi/zumandimine.html
Vyvanse,ADHD,100%,Rx,C,2,X,7.3,768.0,https://www.drugs.com/vyvanse.html
Adderall,ADHD,95%,Rx,C,2,X,7.4,360.0,https://www.drugs.com/adderall.html
Adderall XR,ADHD,51%,Rx,C,2,X,7.9,207.0,https://www.drugs.com/mtm/adderall-xr.html
Concerta,ADHD,40%,Rx,C,2,X,6.8,382.0,https://www.drugs.com/concerta.html
lisdexamfetamine,ADHD,39%,Rx,C,2,X,7.3,799.0,https://www.drugs.com/mtm/lisdexamfetamine.html
Daytrana,ADHD,38%,Rx,C,2,X,8.3,73.0,https://www.drugs.com/cons/daytrana-transdermal.html
Quillivant XR,ADHD,36%,Rx,C,2,X,5.4,21.0,https://www.drugs.com/quillivant-xr.html
amantadine,ADHD,35%,Rx,C,N,,7.2,10.0,https://www.drugs.com/amantadine.html
Cotempla XR-ODT,ADHD,32%,Rx,C,2,X,6.5,8.0,https://www.drugs.com/cotempla-xr-odt.html
Jornay PM,ADHD,32%,Rx,C,2,X,8.7,3.0,https://www.drugs.com/jornay-pm.html
methylphenidate,ADHD,32%,Rx,C,2,X,7.0,833.0,https://www.drugs.com/methylphenidate.html
QuilliChew ER,ADHD,32%,Rx,C,2,X,2.0,1.0,https://www.drugs.com/quillichew-er.html
Azstarys,ADHD,31%,Rx,,2,,7.6,11.0,https://www.drugs.com/azstarys.html
Qelbree,ADHD,30%,Rx,,N,,4.8,12.0,https://www.drugs.com/qelbree.html
Strattera,ADHD,27%,Rx,C,N,,5.2,478.0,https://www.drugs.com/strattera.html
Dexedrine,ADHD,24%,Rx,C,2,X,8.6,93.0,https://www.drugs.com/mtm/dexedrine-spansule.html
amphetamine / dextroamphetamine,ADHD,23%,Rx,C,2,X,6.8,894.0,https://www.drugs.com/mtm/amphetamine-and-dextroamphetamine.html
Ritalin,ADHD,23%,Rx,C,2,X,6.9,160.0,https://www.drugs.com/ritalin.html
dextroamphetamine,ADHD,16%,Rx,C,2,X,8.3,194.0,https://www.drugs.com/mtm/dextroamphetamine.html
bupropion,ADHD,14%,Rx,C,N,X,6.1,133.0,https://www.drugs.com/bupropion.html
